,title,link,room_size,price
0,"Möbliertes sonniges Zimmer in netter 9er WG, zentral",https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Sendling.6911727.html,10.0,450.0
1,Wg Zimmer ab November zu vermieten.,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Sendling.6569053.html,24.0,650.0
2,"Preiswertes, möbliertes Zimmer in Münchens bester Lage",https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Altstadt-Lehel.5199018.html,16.0,290.0
3,Dachzimmer mit eigener Toilette,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Schwanthalerhoehe-Laim.6385261.html,37.0,550.0
4,top WG zimmer zu vermieten Nähe München,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-top-WG-zimmer.4061496.html,15.0,450.0
5,Schönes Zimmer im Altbau Parkett und so :-),https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Neuhausen-Nymphenburg.6927771.html,21.0,580.0
6,"Studentenzimmer (10,12 m2) 3er WG-Laim ab 01.01.2019",https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Laim.3787089.html,10.0,420.0
7,Two rooms available - Möbliertes Zimmer in einer 3er WG am Goethe Institut,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Neuhausen-Nymphenburg.4171665.html,11.0,600.0
8,Zimmer mit Himmelbett für 1 Monat zu vermieten*,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Sendling.6927752.html,19.0,650.0
9,Möbliertes Zimmer an weibliche Wiesnbedienung,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Lerchenau.6923957.html,11.0,310.0
10,УЮТНАЯ КОМНАТА В ЧАСТНОМ ДОМЕ В МЮНХЕНЕ,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Ramersdorf.6782075.html,9.0,450.0
11,Sonniges Zimmer in München-Planegg,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Planegg.6843287.html,12.0,250.0
12,Furnished room with balcony in a 3 Girls flatshare at Goethe Institut,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Neuhausen-Nymphenburg.4785694.html,10.0,550.0
13,Neue Hauptmieterin gesucht - 30m² (2 Zimmer) in netter 4er WG - gute Lage,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Schwabing-Nord.4358815.html,30.0,620.0
14,"Zwei teilmöblierte Zimmer für Berufstätige, auch ein Paar in der Maxvorstadt ab 1. Oktober zu vermieten",https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Maxvorstadt.6927720.html,20.0,600.0
15,Ruhiges Altbauzimmer Im Zentrum,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Ludwigsvorstadt-Isarvorstadt.3578386.html,17.0,560.0
16,ab 1.Oktober für 5 Monate ruhiges schönes Zimmer Nähe Sendlinger Tor,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Ludwigsvorstadt-Isarvorstadt.6636401.html,17.0,560.0
17,"Helles, ruhiges, voll möbliertes Zimmer in zentraler Lage mit vielen Freizeitangeboten und Einkaufsmöglichkeiten ab dem 01.11.18 sucht netten, bevorzugt männlichen und BERUFSTÄTIGEN Mitbewohner",https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Trudering.6908983.html,17.0,2.0
18,"3 möblierte Zimmer (ca. 13 qm) tw. mit Balkon, renoviert, ab sofort in zentraler Lage (Berg-am-Laim) zu vermieten, kostenfrei Internet/Sat-TV & Gartenmitbenutzung",https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Berg-am-Laim.6597045.html,13.0,570.0
19,Schönes grosses helles Zimmer /   30 qm  /   Metro  U2  Schwabing-Nord,https://www.wg-gesucht.de/wg-zimmer-in-Muenchen-Schwabing-Nord---naehe-BMW-Innovation-Centre-FIZ.470230.html,30.0,480.0
